company_id,company_name,coderepo_qid,coderepo_name,coderepo_stack_name,coderepo_role_type,question_library_source,question_author_company_name,coderepo_task_qid,coderepo_task_name,coderepo_task_type_adj,usage_type,attempt_id,attempt_start_date,product_rating
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,83229010,2026-02-09,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2227471,Feature: Image Carousel,feature,screen,82872432,2026-01-27,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1715795,Feature: Discount Coupons Frontend,feature,screen,82685890,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1715795,Feature: Discount Coupons Frontend,feature,screen,82714723,2026-01-21,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,83614370,2026-02-23,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229102,Feature: OTP Payment Verification,feature,screen,83033212,2026-02-02,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,82872432,2026-01-27,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,82589886,2026-01-17,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,82609945,2026-01-18,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1829599,Feature: Host Apartment Validation,feature,screen,82872432,2026-01-27,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,83033212,2026-02-02,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1829599,Feature: Host Apartment Validation,feature,screen,82649865,2026-01-19,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,82687227,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229102,Feature: OTP Payment Verification,feature,screen,82685890,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1829599,Feature: Host Apartment Validation,feature,screen,82591850,2026-01-17,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229102,Feature: OTP Payment Verification,feature,screen,82701823,2026-01-21,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1715795,Feature: Discount Coupons Frontend,feature,screen,82687227,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,83537339,2026-02-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229102,Feature: OTP Payment Verification,feature,screen,82683209,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,82683974,2026-01-20,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229190,Feature: Apartment Filters,feature,screen,82537048,2026-01-15,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,82718199,2026-01-21,
137068,9am,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,83725868,2026-02-27,
